구분,23년수출중량,23년수출금액,24년수출중량,24년수출금액,23년12월중량,23년12월금액,24년12월중량,24년12월금액,물량증감률,금액증감률,비중
총합,4915274263.90 ,12010752118.00 ,5143247651.00 ,12850139520.00 ,396785553.90 ,1013842717.00 ,433607444.20 ,1158477513.00 ,4.6,7,100
일 본,744149090.00 ,2071554370.00 ,695270359.50 ,2032436324.00 ,51234879.10 ,141787769.00 ,52738956.20 ,145782289.00 ,-6.6,-1.9,15.8
중화권,1103201558.80 ,2966918961.00 ,1141347719.20 ,2947021930.00 ,87824136.70 ,257099423.00 ,99768127.80 ,277036287.00 ,3.5,-0.7,22.9
 - 중 국,762877599.10 ,2046158904.00 ,809318514.50 ,2038524803.00 ,58911654.00 ,153734058.00 ,62972011.90 ,176098649.00 ,6.1,-0.4,15.9
 - 홍 콩,204384803.40 ,485412875.00 ,187636061.00 ,468686809.00 ,16560453.20 ,59349148.00 ,17484226.60 ,48396981.00 ,-8.2,-3.4,3.6
 - 대 만,135939156.30 ,435347182.00 ,144393143.60 ,439810318.00 ,12352029.50 ,44016217.00 ,19311889.30 ,52540657.00 ,6.2,1,3.4
북미,534004251.60 ,1967071038.00 ,657328697.70 ,2324086101.00 ,41599353.30 ,171128551.00 ,65206843.70 ,211310817.00 ,23.1,18.1,18.1
 - 미 국,474550883.00 ,1740135153.00 ,593548855.20 ,2068462157.00 ,35668850.30 ,147130261.00 ,58678256.00 ,187057197.00 ,25.1,18.9,16.1
 - 캐나다,59453368.60 ,226935885.00 ,63779842.50 ,255623944.00 ,5930503.00 ,23998290.00 ,6528587.80 ,24253620.00 ,7.3,12.6,2
ASEAN,1598666026.40 ,2463674659.00 ,1498474694.60 ,2530496437.00 ,140117004.00 ,228242375.00 ,122220718.10 ,237098320.00 ,-6.3,2.7,19.7
 - 베트남,725203778.80 ,861696561.00 ,654465703.10 ,852362079.00 ,58151753.70 ,81279321.00 ,54636846.20 ,84421114.00 ,-9.8,-1.1,6.6
 - 태 국,220211424.50 ,476479981.00 ,232945387.40 ,481539999.00 ,29952377.50 ,51145221.00 ,16801129.20 ,41890737.00 ,5.8,1.1,3.7
 - 인도네시아,235532191.30 ,310550423.00 ,198326441.90 ,311880777.00 ,17162555.00 ,25847399.00 ,15192431.40 ,26589918.00 ,-15.8,0.4,2.4
 - 필리핀,130095984.50 ,278375190.00 ,158568276.00 ,341084488.00 ,8279856.80 ,22557461.00 ,14764529.70 ,32803860.00 ,21.9,22.5,2.7
 - 말레이시아,156996500.90 ,226191487.00 ,120500982.90 ,215629680.00 ,13978878.60 ,17390163.00 ,8888335.60 ,18837219.00 ,-23.2,-4.7,1.7
EU(영국포함),251968211.10 ,737937098.00 ,299031603.80 ,906460136.00 ,21616340.10 ,67385310.00 ,27980383.80 ,85161316.00 ,18.7,22.8,7.1
 - 네덜란드,65935655.70 ,189347844.00 ,81613022.50 ,253863086.00 ,5503165.10 ,17558242.00 ,5931701.70 ,19545745.00 ,23.8,34.1,2
 - 영국,27760587.90 ,102842324.00 ,33454814.90 ,130005174.00 ,2836553.70 ,10187242.00 ,2354649.00 ,9036822.00 ,20.5,26.4,1
 - 독일,20179380.60 ,102930494.00 ,23867690.90 ,131853434.00 ,1670304.60 ,9388519.00 ,2470060.20 ,13478620.00 ,18.3,28.1,1
 - 프랑스,24446890.90 ,86725411.00 ,32138704.00 ,105935565.00 ,2299901.50 ,6604530.00 ,3167343.30 ,10586792.00 ,31.5,22.2,0.8
CIS(몽골포함),154110798.00 ,461906206.00 ,196699267.70 ,611004142.00 ,10767517.10 ,35675751.00 ,14461540.30 ,60949797.00 ,27.6,32.3,4.8
 - 러시아,93350264.60 ,269802540.00 ,107212211.40 ,337881649.00 ,7710357.00 ,21476908.00 ,7719765.90 ,32505309.00 ,14.8,25.2,2.6
 - 몽골,46803304.00 ,127220441.00 ,68723931.70 ,163687928.00 ,2231860.60 ,9520029.00 ,4913597.40 ,17010014.00 ,46.8,28.7,1.3
 - 카자흐스탄,7981435.70 ,36259767.00 ,12501026.10 ,54336493.00 ,535273.00 ,2835880.00 ,1115461.40 ,5102527.00 ,56.6,49.9,0.4
중남미,68374409.80 ,214195200.00 ,85222578.40 ,256903981.00 ,6248386.80 ,16895219.00 ,6363643.70 ,17828308.00 ,24.6,19.9,2
 - 멕시코,9794172.30 ,50071534.00 ,14469616.00 ,65591690.00 ,631640.80 ,2701604.00 ,976357.90 ,4097996.00 ,47.7,31,0.5
 - 브라질,5931386.70 ,25930545.00 ,7762674.50 ,22928825.00 ,516166.30 ,2561568.00 ,754762.80 ,2224026.00 ,30.9,-11.6,0.2
 - 콰테말라,9807799.00 ,20655367.00 ,11781364.80 ,21500055.00 ,859448.70 ,1793017.00 ,500419.60 ,1709748.00 ,20.1,4.1,0.2
 - 파나마,4583503.70 ,20282509.00 ,4041970.70 ,21327100.00 ,416524.20 ,720716.00 ,212171.00 ,484541.00 ,-11.8,5.2,0.2
GCC,45282477.80 ,311282224.00 ,50319613.30 ,342029663.00 ,3259357.90 ,23929081.00 ,5379834.00 ,43690003.00 ,11.1,9.9,2.7
 - UAE,29887377.60 ,247948693.00 ,34265198.20 ,268772792.00 ,2240396.50 ,18017063.00 ,3511833.40 ,36568705.00 ,14.6,8.4,2.1
 - 사우디아라비아,6569188.90 ,37455240.00 ,8674711.30 ,48320016.00 ,660897.20 ,4129133.00 ,762726.60 ,3983467.00 ,32.1,29,0.4
 - 카타르,5452145.50 ,11160635.00 ,2242167.10 ,6137881.00 ,54610.30 ,279176.00 ,666458.50 ,840830.00 ,-58.9,-45,0
 - 쿠웨이트,1740233.90 ,8714502.00 ,2090979.10 ,11356744.00 ,153718.00 ,896790.00 ,200872.30 ,1489171.00 ,20.2,30.3,0.1
오세아니아,108155243.10 ,316333007.00 ,119482457.20 ,351410903.00 ,10423983.00 ,26294417.00 ,9161536.30 ,27431726.00 ,10.5,11.1,2.7
 - 호 주,68276816.30 ,226479164.00 ,76708798.00 ,254309753.00 ,6469524.30 ,19304363.00 ,5837107.00 ,19096227.00 ,12.3,12.3,2
 - 뉴질랜드,15719938.20 ,48507075.00 ,16880667.40 ,52803713.00 ,1497254.60 ,3931787.00 ,1492277.70 ,4242055.00 ,7.4,8.9,0.4
아프리카,165993354.80 ,214117977.00 ,196822052.20 ,222833633.00 ,13155220.30 ,19550311.00 ,15192247.60 ,19598316.00 ,18.6,4.1,1.7
 - 나이지리아,25715931.50 ,57145941.00 ,33904290.50 ,60210419.00 ,2645523.40 ,6056424.00 ,1568325.00 ,3256032.00 ,31.8,5.4,0.5
 - 코트디부아르,34459772.00 ,37107517.00 ,16492744.90 ,17559689.00 ,2774328.50 ,3089627.00 ,1648577.00 ,1923207.00 ,-52.1,-52.7,0.1
 - 가나,27556317.70 ,27543932.00 ,24661874.60 ,27655806.00 ,2917164.00 ,3233896.00 ,6800915.40 ,6910163.00 ,-10.5,0.4,0.2
기타,168744170.10 ,384207818.00 ,234409589.90 ,443169837.00 ,13202622.60 ,35307593.00 ,17391538.70 ,40928348.00 ,38.9,15.3,3.4
